Vessel name,From,To,Loading condition,hours since last position [h],longitude,latitude
M/S Eco (06),ITTAR,USMSY,Ballast,1,-40.09375636,31.3864909
M/S Eco (06),ITTAR,USMSY,Ballast,1,-40.33697135,31.35024603
M/S Eco (06),ITTAR,USMSY,Ballast,1,-40.59684777,31.30849631
M/S Eco (06),ITTAR,USMSY,Ballast,1,-40.84742226,31.2687347
M/S Eco (06),ITTAR,USMSY,Ballast,1,-41.09817477,31.23423343
M/S Eco (06),ITTAR,USMSY,Ballast,1,-41.35232544,31.19691107
M/S Eco (06),ITTAR,USMSY,Ballast,1,-41.60434193,31.15946863
M/S Eco (06),ITTAR,USMSY,Ballast,1,-41.85833197,31.11855453
M/S Eco (06),ITTAR,USMSY,Ballast,1,-42.104025,31.07770333
M/S Eco (06),ITTAR,USMSY,Ballast,1,-42.3624126,31.04252373
M/S Eco (06),ITTAR,USMSY,Ballast,1,-42.63187144,31.00683699
M/S Eco (06),ITTAR,USMSY,Ballast,1,-42.87936885,30.97346238
M/S Eco (06),ITTAR,USMSY,Ballast,1,-43.16397834,30.95180886
M/S Eco (06),ITTAR,USMSY,Ballast,1,-43.41383811,30.91361198
M/S Eco (06),ITTAR,USMSY,Ballast,2,-43.94711681,30.82493686
M/S Eco (06),ITTAR,USMSY,Ballast,1,-44.21551251,30.78277812
M/S Eco (06),ITTAR,USMSY,Ballast,1,-44.475725,30.73736333
M/S Eco (06),ITTAR,USMSY,Ballast,1,-44.72746256,30.69470849
M/S Eco (06),ITTAR,USMSY,Ballast,1,-44.97629032,30.65318304
M/S Eco (06),ITTAR,USMSY,Ballast,1,-45.23355,30.61449333
M/S Eco (06),ITTAR,USMSY,Ballast,1,-45.47547868,30.57809586
M/S Eco (06),ITTAR,USMSY,Ballast,1,-45.73601232,30.53977933
M/S Eco (06),ITTAR,USMSY,Ballast,1,-45.98675833,30.509595
M/S Eco (06),ITTAR,USMSY,Ballast,1,-46.25861492,30.46305161
M/S Eco (06),ITTAR,USMSY,Ballast,1,-46.5181263,30.42158824
M/S Eco (06),ITTAR,USMSY,Ballast,1,-46.77934833,30.386785
M/S Eco (06),ITTAR,USMSY,Ballast,1,-47.03363344,30.34847051
M/S Eco (06),ITTAR,USMSY,Ballast,1,-47.30512196,30.31071744
M/S Eco (06),ITTAR,USMSY,Ballast,1,-47.54136167,30.27596333
M/S Eco (06),ITTAR,USMSY,Ballast,2,-48.02497392,30.20114133
M/S Eco (06),ITTAR,USMSY,Ballast,1,-48.27501585,30.1626509
M/S Eco (06),ITTAR,USMSY,Ballast,1,-48.5340565,30.12336041
M/S Eco (06),ITTAR,USMSY,Ballast,1,-48.77177225,30.08978438
M/S Eco (06),ITTAR,USMSY,Ballast,1,-49.00994482,30.05494065
M/S Eco (06),ITTAR,USMSY,Ballast,1,-49.2652068,30.01613812
M/S Eco (06),ITTAR,USMSY,Ballast,1,-49.5141697,29.97890373
M/S Eco (06),ITTAR,USMSY,Ballast,1,-49.768265,29.93983333
M/S Eco (06),ITTAR,USMSY,Ballast,1,-50.02488775,29.89799753
M/S Eco (06),ITTAR,USMSY,Ballast,1,-50.28359985,29.86249427
M/S Eco (06),ITTAR,USMSY,Ballast,1,-50.54250687,29.82503471
M/S Eco (06),ITTAR,USMSY,Ballast,1,-50.80045634,29.78488207
M/S Eco (06),ITTAR,USMSY,Ballast,1,-51.06355794,29.746871
M/S Eco (06),ITTAR,USMSY,Ballast,1,-51.31624728,29.7089175
M/S Eco (06),ITTAR,USMSY,Ballast,1,-51.5809001,29.66236139
M/S Eco (06),ITTAR,USMSY,Ballast,1,-51.82123358,29.61947728
M/S Eco (06),ITTAR,USMSY,Ballast,1,-52.084925,29.610535
M/S Eco (06),ITTAR,USMSY,Ballast,1,-52.32555274,29.55942579
M/S Eco (06),ITTAR,USMSY,Ballast,1,-52.57607281,29.51629676
M/S Eco (06),ITTAR,USMSY,Ballast,1,-52.80627132,29.4855282
M/S Eco (06),ITTAR,USMSY,Ballast,1,-53.02538867,29.44956174
M/S Eco (06),ITTAR,USMSY,Ballast,1,-53.24459431,29.41901067
M/S Eco (06),ITTAR,USMSY,Ballast,1,-53.47274583,29.38520812
M/S Eco (06),ITTAR,USMSY,Ballast,1,-53.70061575,29.34608154
M/S Eco (06),ITTAR,USMSY,Ballast,1,-53.93774891,29.31198353
M/S Eco (06),ITTAR,USMSY,Ballast,1,-54.15935976,29.28287919
M/S Eco (06),ITTAR,USMSY,Ballast,1,-54.39523135,29.25320313
M/S Eco (06),ITTAR,USMSY,Ballast,1,-54.60830067,29.22088029
M/S Eco (06),ITTAR,USMSY,Ballast,1,-54.83403597,29.18223655
M/S Eco (06),ITTAR,USMSY,Ballast,1,-55.05935532,29.14136129
M/S Eco (06),ITTAR,USMSY,Ballast,1,-55.28080056,29.11380263
M/S Eco (06),ITTAR,USMSY,Ballast,1,-55.505825,29.080885
M/S Eco (06),ITTAR,USMSY,Ballast,1,-55.74132488,29.04072286
M/S Eco (06),ITTAR,USMSY,Ballast,1,-55.97184852,29.00597835
M/S Eco (06),ITTAR,USMSY,Ballast,1,-56.19550676,28.96790252
M/S Eco (06),ITTAR,USMSY,Ballast,1,-56.42972311,28.93102093
M/S Eco (06),ITTAR,USMSY,Ballast,1,-56.6830248,28.89384464
M/S Eco (06),ITTAR,USMSY,Ballast,1,-56.92479196,28.85957554
M/S Eco (06),ITTAR,USMSY,Ballast,1,-57.1831109,28.82369239
M/S Eco (06),ITTAR,USMSY,Ballast,1,-57.44178225,28.78038814
M/S Eco (06),ITTAR,USMSY,Ballast,1,-57.70067323,28.74307783
M/S Eco (06),ITTAR,USMSY,Ballast,1,-57.9611286,28.70508088
M/S Eco (06),ITTAR,USMSY,Ballast,1,-58.22845414,28.66337716
M/S Eco (06),ITTAR,USMSY,Ballast,1,-58.48804167,28.62855833
M/S Eco (06),ITTAR,USMSY,Ballast,1,-58.7484899,28.58428197
M/S Eco (06),ITTAR,USMSY,Ballast,1,-59.01712365,28.54123335
M/S Eco (06),ITTAR,USMSY,Ballast,1,-59.28383251,28.50316451
M/S Eco (06),ITTAR,USMSY,Ballast,1,-59.54548203,28.46309461
M/S Eco (06),ITTAR,USMSY,Ballast,2,-60.07559286,28.39083438
M/S Eco (06),ITTAR,USMSY,Ballast,1,-60.34794657,28.35501594
M/S Eco (06),ITTAR,USMSY,Ballast,1,-60.60438416,28.31563335
M/S Eco (06),ITTAR,USMSY,Ballast,1,-60.88644149,28.26563707
M/S Eco (06),ITTAR,USMSY,Ballast,1,-61.14468868,28.22160329
M/S Eco (06),ITTAR,USMSY,Ballast,1,-61.40392263,28.17784974
M/S Eco (06),ITTAR,USMSY,Ballast,1,-61.69225024,28.1386216
M/S Eco (06),ITTAR,USMSY,Ballast,1,-61.95455032,28.09655534
M/S Eco (06),ITTAR,USMSY,Ballast,1,-62.22439321,28.05232741
M/S Eco (06),ITTAR,USMSY,Ballast,1,-62.50180043,28.00992404
M/S Eco (06),ITTAR,USMSY,Ballast,1,-62.76210922,27.96943901
M/S Eco (06),ITTAR,USMSY,Ballast,1,-63.04492352,27.93606839
M/S Eco (06),ITTAR,USMSY,Ballast,1,-63.33845167,27.89086333
M/S Eco (06),ITTAR,USMSY,Ballast,1,-63.60069032,27.84929492
M/S Eco (06),ITTAR,USMSY,Ballast,1,-63.87190671,27.80761149
M/S Eco (06),ITTAR,USMSY,Ballast,1,-64.14254966,27.76107648
M/S Eco (06),ITTAR,USMSY,Ballast,1,-64.39754448,27.7280255
M/S Eco (06),ITTAR,USMSY,Ballast,1,-64.65517334,27.68097693
M/S Eco (06),ITTAR,USMSY,Ballast,1,-64.90866631,27.64239652
M/S Eco (06),ITTAR,USMSY,Ballast,1,-65.14373725,27.60718032
M/S Eco (06),ITTAR,USMSY,Ballast,1,-65.39063641,27.57017416
M/S Eco (06),ITTAR,USMSY,Ballast,1,-65.65412662,27.52825783
M/S Eco (06),ITTAR,USMSY,Ballast,1,-65.90064204,27.49158652
M/S Eco (06),ITTAR,USMSY,Ballast,1,-66.14687796,27.45347303
M/S Eco (06),ITTAR,USMSY,Ballast,1,-66.4010916,27.41544735
M/S Eco (06),ITTAR,USMSY,Ballast,1,-66.65234993,27.37394299
M/S Eco (06),ITTAR,USMSY,Ballast,1,-66.89231275,27.33507954
M/S Eco (06),ITTAR,USMSY,Ballast,1,-67.14279283,27.29460169
M/S Eco (06),ITTAR,USMSY,Ballast,1,-67.39877045,27.25482443
M/S Eco (06),ITTAR,USMSY,Ballast,1,-67.65795268,27.22349861
M/S Eco (06),ITTAR,USMSY,Ballast,1,-67.91210364,27.18283694
M/S Eco (06),ITTAR,USMSY,Ballast,1,-68.17909124,27.1409009
M/S Eco (06),ITTAR,USMSY,Ballast,1,-68.44459763,27.09798702
M/S Eco (06),ITTAR,USMSY,Ballast,1,-68.71658099,27.0585002
M/S Eco (06),ITTAR,USMSY,Ballast,1,-68.97603207,27.01847716
M/S Eco (06),ITTAR,USMSY,Ballast,1,-69.23470285,26.97637537
M/S Eco (06),ITTAR,USMSY,Ballast,1,-69.46007466,26.92203361
M/S Eco (06),ITTAR,USMSY,Ballast,1,-69.68889984,26.86227024
M/S Eco (06),ITTAR,USMSY,Ballast,1,-69.92492873,26.79994132
M/S Eco (06),ITTAR,USMSY,Ballast,1,-70.17178139,26.7472137
M/S Eco (06),ITTAR,USMSY,Ballast,1,-70.40343811,26.70399955
M/S Eco (06),ITTAR,USMSY,Ballast,1,-70.65317334,26.65997497
M/S Eco (06),ITTAR,USMSY,Ballast,1,-70.90369068,26.62428654
M/S Eco (06),ITTAR,USMSY,Ballast,1,-71.15805905,26.59402898
